# 302|Буры по бетону для перфоратора SDS Plus DUO (RennBohr, Франция)
1|Бур SDS+ &numsp;5 &#215; 160|302|590611|137,80|130,08|125,67||mult2 norow|Буры по бетону для перфоратора SDS+| "Duo" (RennBohr, Франция)|</span></p><UL><LI>Сверло-бур по бетону и камню с хвостовиком SDS plus RennBohr "Duo" имеет напайку повышенной прочности и центрирующий наконечник для точного засверливания.<LI>Угол вершины, приближенный к 180°, усиливает эффект долбления.<LI>Канавка оптимальной глубины и формы с компрессионными и декомпрессионными участками способствуют быстрому выводу шлама.<LI>Усиленная основа предотвращает изгиб бура при попадании в арматуру и других боковых нагрузках.</UL><p><span class="addt">||/img/pic/drill/small/DUO1.JPG|/img/pic/drill/big/DUO2.jpg
0|Бур SDS+ &numsp;6 &#215; 110|302|590611|159|150|140|
0|Бур SDS+ &numsp;6 &#215; 160|302|590616|179|170|160|
0|Бур SDS+ &numsp;6 &#215; 210|302|590621|298|280|265|
0|Бур SDS+ &numsp;6 &#215; 260|302|590626|345|330|310|
 0|Бур по бетону SDS Plus HAGWERT       14 &#215;&numsp;260 мм|414|562037|220|205|195||blkt2
 0|Бур по бетону SDS Plus HAGWERT       14 &#215;&numsp;460 мм|414|562039|350|335|310||
 0|Бур по бетону SDS Plus HAGWERT       16 &#215;&numsp;210 мм|414|562043|218|202|194||blkt2
~0|Бур по бетону SDS Plus HAGWERT       20 &#215;&numsp;460 мм|414|562055|460|435|415||blkt2

# 357|Буры Проломные для перфоратора SDS Max BERGEN
1|Бур SDS Max 10 &#215; 400                    |357|BPR456|  265| 5190| 5150||norow|Буры проломные для перфоратора SDS Max| BERGEN|Буры проломные используются для просверливания отверстий больших диаметров и для проделывания проемов в твердых материалах (бетон, кирпич, камень и т.п.)||/img/pic/drill/small/BUR PROLOMNOY.jpg|/img/pic/drill/big/BUR PROLOMNOY.jpg
0|Бур SDS Max BERGEN проломной 45 &#215; 600 мм|357|BPR456| 6900| 6800| 6600||
0|Бур SDS Max BERGEN проломной 45 &#215;1000 мм|357|BPR451| 7900| 7750| 7600||
0|Бур SDS Max BERGEN проломной 55 &#215; 600 мм|357|BPR556| 7100| 7000| 6850||blkt2
0|Бур SDS Max BERGEN проломной 55 &#215;1000 мм|357|BPR551| 8950| 8800| 8700||
0|Бур SDS Max BERGEN проломной 68 &#215; 400 мм|357|BPR684| 7600| 7450| 7350||blkt2
0|Бур SDS Max BERGEN проломной 68 &#215; 600 мм|357|BPR686| 8900| 8750| 8600||
0|Бур SDS Max BERGEN проломной 68 &#215; 800 мм|357|BPR688|10900|10400| 9900||
0|Бур SDS Max BERGEN проломной 68 &#215;1000 мм|357|BPR681|12900|12300|11600||
0|Бур SDS Max BERGEN проломной 80 &#215; 600 мм|357|BPR806|11200|10800|10500||blkt2
0|Бур SDS Max BERGEN проломной 80 &#215;1000 мм|357|BPR801|14850|14300|13700||

# 48|Буры BERGEN Max
1|10 &#215; 310, PRORAB|48|PR10310 | 275,00| 262,50| 250,00||blue norow mult2|Буры по бетону для перфоратора SDS Max| |||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
0|10 &#215; 400, BERGEN|48|BM10400 | 515,00| 495,00| 475,00||
0|10 &#215; 600, BERGEN|48|BM10600 | 820,00| 795,00| 775,00||
0|10 &#215; 800, BERGEN|48|BM10800 |1095,00|1065,00|1025,00||
0|10 &#215;1000, BERGEN|48|BM101000|1490,00|1450,00|1395,00||
0|12 &#215; 400, BERGEN|48|BM12400 | 495,00| 475,00| 460,00||blkt2
0|12 &#215; 600, BERGEN|48|BM12600 | 840,00| 810,00| 785,00||
0|12 &#215; 800, BERGEN|48|BM12800 |1195,00|1145,00|1120,00||
0|14 &#215; 400, BERGEN|48|BM14400 | 525,00| 505,00| 485,00||blkt2
0|14 &#215; 600, BERGEN|48|BM14600 | 885,00| 850,00| 830,00||
0|14 &#215; 800, BERGEN|48|BM14800 |1280,00|1240,00|1210,00||
0|14 &#215;1000, BERGEN|48|BM141000|1590,00|1520,00|1470,00||
0|16 &#215; 400, BERGEN|48|BM16400 | 670,00| 645,00| 630,00||blkt2
0|16 &#215; 600, BERGEN|48|BM16600 | 925,00| 885,00| 865,00||
0|16 &#215; 800, BERGEN|48|BM16800 |1220,00|1170,00|1140,00||
0|16 &#215;1000, BERGEN|48|BM161000|1690,00|1625,00|1580,00||
0|18 &#215; 400, BERGEN|48|BM18400 | 670,00| 640,00| 620,00||blkt2
0|18 &#215; 600, BERGEN|48|BM18600 | 935,00| 905,00| 875,00||
0|18 &#215; 800, BERGEN|48|BM18800 |1290,00|1240,00|1210,00||
0|18 &#215;1000, BERGEN|48|BM181000|1750,00|1680,00|1640,00||
0|20 &#215; 400, BERGEN|48|BM20400 | 820,00| 790,00| 760,00||blkt
0|20 &#215; 600, BERGEN|48|BM20600 | 960,00| 920,00| 905,00||
0|20 &#215; 800, BERGEN|48|BM20800 |1390,00|1340,00|1295,00||
0|20 &#215;1000, BERGEN|48|BM201000|1840,00|1770,00|1720,00||
0|22 &#215; 400, BERGEN|48|BM22400 | 840,00| 805,00| 780,00||blkt2
0|22 &#215; 550, PRORAB|48|PR22550 | 440,00| 420,00| 400,00||blue
0|22 &#215; 600, BERGEN|48|BM22600 |1150,00|1090,00|1050,00||
0|22 &#215; 800, BERGEN|48|BM22800 |1460,00|1410,00|1360,00||
0|22 &#215;1000, BERGEN|48|BM221000|1900,00|1830,00|1790,00||
1|25 &#215; 400, BERGEN|48|BM25400 | 890,00| 845,00| 820,00||mult2 next
0|25 &#215; 600, BERGEN|48|BM25600 |1160,00|1110,00|1060,00||
0|25 &#215; 800, BERGEN|48|BM25800 |1430,00|1375,00|1340,00||
0|25 &#215;1000, BERGEN|48|BM251000|1990,00|1930,00|1860,00||
0|26 &#215; 400, BERGEN|48|BM26400 | 990,00| 950,00| 920,00||blkt2
0|26 &#215; 600, BERGEN|48|BM26600 |1150,00|1110,00|1070,00||
0|26 &#215;1000, BERGEN|48|BM261000|2220,00|2160,00|2120,00||
0|28 &#215; 400, BERGEN|48|BM28400 |1160,00|1120,00|1065,00||blkt2
0|28 &#215; 600, BERGEN|48|BM28600 |1390,00|1340,00|1295,00||
0|28 &#215;1000, BERGEN|48|BM281000|2480,00|2410,00|2360,00||
0|30 &#215; 400, BERGEN|48|BM30400 |1360,00|1320,00|1280,00||blkt
0|30 &#215; 600, BERGEN|48|BM30600 |1440,00|1395,00|1345,00||
0|30 &#215; 800, BERGEN|48|BM30800 |2390,00|2330,00|2290,00||
0|30 &#215;1000, BERGEN|48|BM301000|2590,00|2530,00|2490,00||
0|32 &#215; 400, BERGEN|48|BM32400 |1550,00|1490,00|1460,00||blkt2
0|32 &#215; 600, BERGEN|48|BM32600 |1690,00|1640,00|1620,00||
0|32 &#215; 800, BERGEN|48|BM32800 |2630,00|2570,00|2540,00||
0|32 &#215;1000, BERGEN|48|BM321000|2930,00|2865,00|2845,00||
0|35 &#215; 400, BERGEN|48|BM35400 |1990,00|1925,00|1880,00||blkt2
0|35 &#215; 800, BERGEN|48|BM35800 |3190,00|3090,00|3030,00||
0|35 &#215;1000, BERGEN|48|BM351000|3700,00|3600,00|3550,00||
0|38 &#215;1000, BERGEN|48|BM381000|4600,00|4500,00|4400,00||blkt2
0|40 &#215; 600, PRORAB|48|PR40600 |2090,00|1995,00|1900,00||blue blkt
0|40 &#215; 600, BERGEN|48|BM40600 |2990,00|2930,00|2880,00||blkt
0|40 &#215;1000, BERGEN|48|BM401000|5100,00|5000,00|4900,00||
0|45 &#215; 600, BERGEN|48|BM45600 |5100,00|5000,00|4900,00||blkt2
0|45 &#215;1000, BERGEN|48|BM451000|6190,00|5655,00|5440,00||

# 47|Буры по бетону для перфоратора SDS Plus BERGEN
 1|&numsp;5 &#215;&numsp;160 мм, BERGEN  |47|B+05160 |  67|  65|  62||mult2|Буры по бетону для перфоратора SDS Plus||||/img/pic/drill/small/BURY SDS PLUS.jpg|/img/pic/drill/big/BURY SDS PLUS.jpg
 0|&numsp;6 &#215;&numsp;110 мм, BERGEN  |47|B+06110 |  62|  59|  56||blkt2
 0|&numsp;6 &#215;&numsp;110 мм, OPTIM   |47|790611  |  52|  48|  45||blue
 0|&numsp;6 &#215;&numsp;110 мм, UNIVERSE|47|SG06110 |  62|  59|  56||blue
 0|&numsp;6 &#215;&numsp;160 мм, BERGEN  |47|B+06160 |  68|  64|  59|
 0|&numsp;6 &#215;&numsp;160 мм, OPTIM   |47|790616  |  52|  48|  44||blue
 0|&numsp;6 &#215;&numsp;160 мм, UNIVERSE|47|SG06160 |  68|  64|  59||blue
 0|&numsp;6 &#215;&numsp;210 мм, BERGEN  |47|B+06210 |  89|  84|  79|
 0|&numsp;6 &#215;&numsp;210 мм, UNIVERSE|47|SG06210 |  89|  84|  79||blue
 0|&numsp;6 &#215;&numsp;260 мм, BERGEN  |47|B+06260 | 115| 109| 104|
 0|&numsp;6 &#215;&numsp;310 мм, BERGEN  |47|B+06310 | 138| 132| 126|
 0|&numsp;6 &#215;&numsp;350 мм, BERGEN  |47|B+06350 | 145| 138| 132|
 0|&numsp;6 &#215;&numsp;450 мм, BERGEN  |47|B+06450 | 198| 190| 182|
 0|&numsp;6 &#215;&numsp;600 мм, BERGEN  |47|B+06600 | 260| 240| 230|
 0|&numsp;8 &#215;&numsp;110 мм, BERGEN  |47|B+08110 |  73|  69|  64||blkt2
 0|&numsp;8 &#215;&numsp;160 мм, BERGEN  |47|B+08160 |  79|  74|  69|
 0|&numsp;8 &#215;&numsp;160 мм, UNIVERSE|47|SG08160 |  79|  74|  69||blue
 0|&numsp;8 &#215;&numsp;210 мм, BERGEN  |47|B+08210 |  89|  85|  81|
 0|&numsp;8 &#215;&numsp;210 мм, UNIVERSE|47|SG08210 |  89|  85|  81||blue
 0|&numsp;8 &#215;&numsp;260 мм, BERGEN  |47|B+08260 | 115| 108| 102|
 0|&numsp;8 &#215;&numsp;310 мм, BERGEN  |47|B+08310 | 135| 128| 119|
 0|&numsp;8 &#215;&numsp;350 мм, BERGEN  |47|B+08350 | 149| 142| 135|
 0|&numsp;8 &#215;&numsp;460 мм, BERGEN  |47|B+08450 | 240| 225| 215|
 0|&numsp;8 &#215;&numsp;600 мм, BERGEN  |47|B+08600 | 350| 335| 320|
 0|10       &#215;&numsp;110 мм, BERGEN  |47|B+10110 |  79|  74|  69||blkt
 0|10       &#215;&numsp;160 мм, UNIVERSE|47|UBP10160|  89|  85|  81||blue
 0|10       &#215;&numsp;160 мм, BERGEN  |47|B+10160 |  89|  85|  81|
 0|10       &#215;&numsp;210 мм, BERGEN  |47|B+10210 | 108|  99|  94|
 0|10       &#215;&numsp;260 мм, BERGEN  |47|B+10260 | 125| 118| 112|
 0|10       &#215;&numsp;310 мм, BERGEN  |47|B+10310 | 149| 142| 138|
 0|10       &#215;&numsp;350 мм, BERGEN  |47|B+10350 | 169| 162| 154|
 0|10       &#215;&numsp;460 мм, UNIVERSE|47|UBP10460| 240| 225| 215||blue
 0|10       &#215;&numsp;460 мм, BERGEN  |47|B+10460 | 240| 225| 215|
 0|10       &#215;&numsp;600 мм, BERGEN  |47|B+10600 | 320| 295| 280|
 0|10       &#215;&numsp;800 мм, BERGEN  |47|B+10800 | 570| 545| 530|
 0|10       &#215;1000       мм, BERGEN  |47|+101000 |1050| 990| 965|
 0|12       &#215;&numsp;160 мм, BERGEN  |47|B+12160 | 119| 112| 106||blkt2
 0|12       &#215;&numsp;210 мм, BERGEN  |47|B+12210 | 129| 122| 116||
 0|12       &#215;&numsp;260 мм, BERGEN  |47|B+12260 | 145| 138| 132|
 0|12       &#215;&numsp;310 мм, BERGEN  |47|B+12310 | 158| 151| 144|
 0|12       &#215;&numsp;350 мм, BERGEN  |47|B+12350 | 177| 168| 162|
 0|12       &#215;&numsp;460 мм, OPTIM   |47|791246  | 160| 150| 140||blue
 0|12       &#215;&numsp;460 мм, BERGEN  |47|B+12460 | 240| 225| 215|
 0|12       &#215;&numsp;600 мм, BERGEN  |47|B+12600 | 340| 325| 310||
 0|12       &#215;1000       мм, BERGEN  |47|B+121000| 730| 695| 675|
 1|14       &#215;&numsp;160 мм, BERGEN  |47|B+14160 | 139| 132| 124||mult2 next|
 0|14       &#215;&numsp;210 мм, BERGEN  |47|B+14210 | 159| 152| 145|
 0|14       &#215;&numsp;260 мм, BERGEN  |47|B+14260 | 175| 165| 158|
 0|14       &#215;&numsp;310 мм, BERGEN  |47|B+14310 | 194| 185| 179|
 0|14       &#215;&numsp;350 мм, BERGEN  |47|B+14350 | 240| 220| 210||
 0|14       &#215;&numsp;460 мм, BERGEN  |47|B+14460 | 310| 290| 275|
 0|14       &#215;&numsp;600 мм, BERGEN  |47|B+14600 | 420| 385| 370||
 0|14       &#215;&numsp;800 мм, BERGEN  |47|B+14800 | 620| 585| 570|
 0|14       &#215;1000       мм, BERGEN  |47|B+141000| 760| 740| 725||
 0|16       &#215;&numsp;210 мм, BERGEN  |47|B+16210 | 192| 184| 175||blkt2
 0|16       &#215;&numsp;260 мм, BERGEN  |47|B+16260 | 219| 205| 196|
 0|16       &#215;&numsp;310 мм, BERGEN  |47|B+16310 | 250| 235| 220|
 0|16       &#215;&numsp;350 мм, BERGEN  |47|B+16350 | 275| 260| 245|
 0|16       &#215;&numsp;450 мм, BERGEN  |47|B+16450 | 335| 315| 305|
 0|16       &#215;&numsp;600 мм, BERGEN  |47|B+16600 | 475| 455| 440|
 0|16       &#215;1000       мм, BERGEN  |47|B+161000| 895| 865| 845|
 0|18       &#215;&numsp;260 мм, BERGEN  |47|B+18260 | 310| 285| 270||blkt2
 0|18       &#215;&numsp;310 мм, BERGEN  |47|B+18310 | 345| 325| 310|
 0|18       &#215;&numsp;350 мм, BERGEN  |47|B+18350 | 365| 340| 320|
 0|18       &#215;&numsp;460 мм, BERGEN  |47|B+18460 | 430| 400| 385|
 0|18       &#215;&numsp;600 мм, BERGEN  |47|B+18600 | 575| 555| 540|
 0|18       &#215;1000       мм, BERGEN  |47|B+181000|1195|1160|1125|
 0|20       &#215;&numsp;210 мм, BERGEN  |47|B+20210 | 320| 295| 280||blkt
 0|20       &#215;&numsp;310 мм, BERGEN  |47|B+20310 | 390| 370| 355|
 0|20       &#215;&numsp;460 мм, BERGEN  |47|B+20460 | 555| 535| 520|
 0|20       &#215;&numsp;600 мм, BERGEN  |47|B+20600 | 720| 690| 670|
 0|20       &#215;&numsp;800 мм, BERGEN  |47|B+20800 |1120|1085|1050|
 0|20       &#215;1000       мм, BERGEN  |47|B+201000|1450|1395|1360|
 0|22       &#215;&numsp;350 мм, BERGEN  |47|B+22350 | 570| 550| 530||blkt2
 0|22       &#215;&numsp;460 мм, BERGEN  |47|B+22460 | 670| 650| 630|
 0|24       &#215;&numsp;350 мм, BERGEN  |47|B+24350 | 665| 640| 620||blkt2
 0|24       &#215;&numsp;600 мм, BERGEN  |47|B+24600 | 995| 960| 940|
 0|25       &#215;&numsp;460 мм, BERGEN  |47|B+25460 | 830| 795| 775||blkt2
 0|25       &#215;&numsp;600 мм, BERGEN  |47|B+25600 | 995| 960| 940|
 0|25       &#215;&numsp;800 мм, BERGEN  |47|B+25800 |1690|1620|1560|
 0|25       &#215;1000       мм, BERGEN  |47|B+251000|1890|1830|1795|
 0|26       &#215;&numsp;260 мм, BERGEN  |47|B+26260 | 640| 615| 595||blkt2
 0|26       &#215;&numsp;460 мм, BERGEN  |47|B+26460 |1060|1020| 980|
 0|26       &#215;1000       мм, BERGEN  |47|B+261000|2490|2400|2360|
 0|32       &#215;&numsp;460 мм, BERGEN  |47|B+32460 |1480|1420|1380||blkt
 0|32       &#215;&numsp;600 мм, BERGEN  |47|B+32600 |1890|1820|1780|
 0|32       &#215;&numsp;800 мм, BERGEN  |47|B+32800 |2450|2380|2330|
 0|32       &#215;1000       мм, BERGEN  |47|B+321000|2990|2900|2840|
